Date,Open,High,Low,Close,Volume
2021-03-01,13.836088393397688,13.885948361591872,13.515241033932776,13.802931785583496,353184000
2021-03-02,13.861022191795023,13.881464889691356,13.358435763173416,13.368657112121582,264116000
2021-03-03,13.388598869860433,13.413777543276217,12.762858052083374,12.768841743469238,377592000
2021-03-04,12.764853610702268,12.938615575725441,12.04986423160692,12.33556079864502,573344000
2021-03-05,12.514804603359082,12.514804603359082,11.646496134063495,12.426552772521973,542840000
2021-03-08,12.415085459306246,12.43627563829937,11.534063017322843,11.560738563537598,543112000
2021-03-09,12.100408589821392,12.5857115477266,12.029583156574535,12.489449501037598,521824000
2021-03-10,12.808911083089319,12.948067565563633,12.42685387625009,12.437577247619629,384376000
2021-03-11,12.918141567568973,13.014155316080448,12.703171840009764,12.96153450012207,299916000
2021-03-12,12.617134944070317,12.857043763325269,12.559028764148305,12.824374198913574,243964000
2021-03-15,12.833100567176805,13.174259200116992,12.735840584975177,13.158797264099121,221988000
2021-03-16,13.323640516436615,13.479256868126042,13.084480431649451,13.258551597595215,272128000
2021-03-17,13.007672048190122,13.420154662329283,12.957545610939825,13.308430671691895,243864000
2021-03-18,13.104184222736647,13.151567029011133,12.685715853663865,12.691202163696289,293896000
2021-03-19,12.718635542098236,12.889713864876905,12.581473976517742,12.814149856567383,299208000
2021-03-22,12.880982909051182,13.361547266325193,12.874997152443814,13.153809547424316,297804000
2021-03-23,13.221640212354417,13.311668185976108,12.989213658903179,13.038592338562012,222048000
2021-03-24,13.118897393362214,13.126878086028931,12.605663414562246,12.611897468566895,245840000
2021-03-25,12.468751160231504,12.683471654533125,12.241810854541152,12.504412651062012,295144000
2021-03-26,12.523612577983327,12.824620384035123,12.343058124473357,12.807662010192871,363968000
2021-03-29,12.78871077199155,13.03036526004874,12.66875684725543,12.916396141052246,273520000
2021-03-30,12.810408344776906,12.943330782149033,12.673745284717413,12.84008502960205,200204000
2021-03-31,12.983478006224308,13.437358492652475,12.950559203804964,13.315409660339355,314776000
2021-04-01,13.5388611010894,13.835878123071739,13.47801034601489,13.777771949768066,308276000
2021-04-05,13.833385038729487,13.979524270576526,13.699215418219154,13.953089714050293,255672000
2021-04-06,13.965308533350179,14.019674081792544,13.739615448630643,13.827398300170898,191744000
2021-04-07,13.846602230892788,14.208459897547266,13.677769060228261,14.1087064743042,251284000
